resid.,emp. dist.,fit dist.,long. lat. (i),long. lat. (j)
-0.05319335703195177,0.07379959174939632,0.07667450407921853,"(-3.393, 59.851)","(11.25, 60.177)"
-0.056972462025405735,0.07290566598928372,0.07939545076090611,"(-20.259, 63.678)","(11.25, 60.177)"
-0.04554600624145751,0.07240377965369671,0.06814610356849776,"(-20.259, 63.678)","(-3.393, 59.851)"
-0.0465154155104828,0.047517529827393545,0.04559067713302807,"(9.22, 56.733)","(11.25, 60.177)"
-0.04920867342409217,0.04630679389080594,0.04698880977147584,"(9.22, 56.733)","(-3.393, 59.851)"
-0.05206195563499569,0.04638112617003998,0.04974977617527698,"(9.22, 56.733)","(-20.259, 63.678)"
-0.0585032730042406,0.14654026909977436,0.15028223716244415,"(-4.186, 55.69)","(11.25, 60.177)"
-0.05155217615463098,0.14276616514950025,0.14016754508729024,"(-4.186, 55.69)","(-3.393, 59.851)"
-0.05128373182362231,0.14571300005244137,0.14269347410228694,"(-4.186, 55.69)","(-20.259, 63.678)"
-0.054571693027386875,0.1178055243779621,0.11947537193735827,"(-4.186, 55.69)","(9.22, 56.733)"
-0.05661235409870298,0.06193101340360929,0.06870589683390159,"(-9.342, 53.768)","(11.25, 60.177)"
-0.04846856756917309,0.05999493428135061,0.05919980560735157,"(-9.342, 53.768)","(-3.393, 59.851)"
-0.04595926651655824,0.06082416630591769,0.0576153708540283,"(-9.342, 53.768)","(-20.259, 63.678)"
-0.05074234206178131,0.035288946814689304,0.038044497559479945,"(-9.342, 53.768)","(9.22, 56.733)"
-0.052110835496660096,0.12981968744897454,0.128484876341313,"(-9.342, 53.768)","(-4.186, 55.69)"
-0.058948956216741344,0.11892486942974045,0.12465909771127706,"(0.243, 51.961)","(11.25, 60.177)"
-0.053524982569943313,0.11805119983665069,0.11871993411339551,"(0.243, 51.961)","(-3.393, 59.851)"
-0.055123056146301724,0.11790304475663849,0.120087319153382,"(0.243, 51.961)","(-20.259, 63.678)"
-0.05231813020012438,0.09210263575004252,0.09311028066687868,"(0.243, 51.961)","(9.22, 56.733)"
-0.056136300103616726,0.1885755001581968,0.1876924660159864,"(0.243, 51.961)","(-4.186, 55.69)"
-0.05113577286647325,0.10608448402465154,0.1051811884290825,"(0.243, 51.961)","(-9.342, 53.768)"
-0.05960887109782173,0.1201429994393397,0.12643023898191386,"(-4.676, 50.196)","(11.25, 60.177)"
-0.055163145803437175,0.11725881795287929,0.11951757119963481,"(-4.676, 50.196)","(-3.393, 59.851)"
-0.05465260412432618,0.11765580943321297,0.11941048459891423,"(-4.676, 50.196)","(-20.259, 63.678)"
-0.05530181587032257,0.09146730834210715,0.09532496374350596,"(-4.676, 50.196)","(9.22, 56.733)"
-0.05340477388984449,0.19245854622812875,0.1887784381092648,"(-4.676, 50.196)","(-4.186, 55.69)"
-0.04977710615708028,0.10485339212689926,0.10273884619708087,"(-4.676, 50.196)","(-9.342, 53.768)"
-0.05482684631986867,0.1606352764614245,0.16010776279847327,"(-4.676, 50.196)","(0.243, 51.961)"
-0.062066075213080635,0.12632953241287392,0.13458195013986976,"(-8.873, 42.835)","(11.25, 60.177)"
-0.05992048516361845,0.1224292751832472,0.1288802495654568,"(-8.873, 42.835)","(-3.393, 59.851)"
-0.05530092536443973,0.12674418942793153,0.1285929452964487,"(-8.873, 42.835)","(-20.259, 63.678)"
-0.058177776256182506,0.09733017549736456,0.10356635253664023,"(-8.873, 42.835)","(9.22, 56.733)"
-0.06474629075981225,0.19205090898010369,0.19908993041847636,"(-8.873, 42.835)","(-4.186, 55.69)"
-0.05450058457843587,0.11146375642435569,0.1134275345739224,"(-8.873, 42.835)","(-9.342, 53.768)"
-0.058297111332487245,0.16860024369517568,0.17089206932457154,"(-8.873, 42.835)","(0.243, 51.961)"
-0.05533804349566748,0.16799383937453527,0.16752955391361204,"(-8.873, 42.835)","(-4.676, 50.196)"
-0.056840337728509965,0.06915135555081875,0.07573024286859492,"(-2.795, 43.055)","(11.25, 60.177)"
-0.05447356961670116,0.06610648906673955,0.07062665380001071,"(-2.795, 43.055)","(-3.393, 59.851)"
-0.05314665326789016,0.06764909153735754,0.07083006245852137,"(-2.795, 43.055)","(-20.259, 63.678)"
-0.05189248643969002,0.0411271079401514,0.044635008973911025,"(-2.795, 43.055)","(9.22, 56.733)"
-0.05683845799060372,0.13823669417120144,0.1408812761332011,"(-2.795, 43.055)","(-4.186, 55.69)"
-0.050363952963383876,0.05463634600172007,0.05593373801259054,"(-2.795, 43.055)","(-9.342, 53.768)"
-0.053657706615575396,0.11089792633158879,0.11209901415996296,"(-2.795, 43.055)","(0.243, 51.961)"
-0.05127445768379657,0.11056882922046185,0.1095410625153139,"(-2.795, 43.055)","(-4.676, 50.196)"
-0.048850673324733584,0.10903280208561394,0.10580665467681469,"(-2.795, 43.055)","(-8.873, 42.835)"
-0.0637433919672585,0.12797201094323896,0.13771277329947562,"(-3.923, 41.231)","(11.25, 60.177)"
-0.06499637842767078,0.12139824950449984,0.13269487186237217,"(-3.923, 41.231)","(-3.393, 59.851)"
-0.06190938051337111,0.12467110844898066,0.1328701531577185,"(-3.923, 41.231)","(-20.259, 63.678)"
-0.06145583204632643,0.0973259636331214,0.10665384001873551,"(-3.923, 41.231)","(9.22, 56.733)"
-0.06967409137155767,0.1912904900444108,0.2030200929580315,"(-3.923, 41.231)","(-4.186, 55.69)"
-0.05984319614395242,0.11102457057491844,0.11805184344766123,"(-3.923, 41.231)","(-9.342, 53.768)"
-0.06270411445694654,0.1679095938308599,0.1743968772596597,"(-3.923, 41.231)","(0.243, 51.961)"
-0.058860626291749846,0.1691581890082201,0.1719496929104187,"(-3.923, 41.231)","(-4.676, 50.196)"
